v1	A2-declared	blind	A2	high	15
v1	A2-declared	blind	A2	high	16
v1	A2-declared	blind	A2	high	15
v1	A2-declared	labelled	A2	high	12
v1	A2-declared	labelled	A2	high	14
v1	A2-declared	labelled	A2	high	16
v2	B1-declared	blind	B2	high	13
v2	B1-declared	blind	B2	high	10
v2	B1-declared	blind	B2	high	19
v2	B1-declared	labelled	B1	high	16
v2	B1-declared	labelled	B2	high	15
v2	B1-declared	labelled	B1	high	11
v3	B1-exam	blind	B1	high	11
v3	B1-exam	blind	B1	high	12
v3	B1-exam	blind	B1	high	12
v3	B1-exam	labelled	B1	high	12
v3	B1-exam	labelled	B1	high	12
v3	B1-exam	labelled	B1	high	13
v4	native-kids	blind	B1	high	14
v4	native-kids	blind	B1	high	17
v4	native-kids	blind	B1	high	16
v4	native-kids	labelled	B1	high	15
v4	native-kids	labelled	B1	high	15
v4	native-kids	labelled	A2	high	12
v5	native-adult	blind	B2	high	11
v5	native-adult	blind	B2	high	11
v5	native-adult	blind	B2	high	10
v5	native-adult	labelled	B2	high	13
v5	native-adult	labelled	B2	high	18
v5	native-adult	labelled	B2	high	14
