v1	A2-declared	blind	NONE	none	3
v1	A2-declared	blind	NONE	none	3
v1	A2-declared	blind	NONE	none	3
v1	A2-declared	labelled	NONE	none	3
v1	A2-declared	labelled	NONE	none	3
v1	A2-declared	labelled	NONE	none	4
v2	B1-declared	blind	NONE	none	3
v2	B1-declared	blind	NONE	none	3
v2	B1-declared	blind	NONE	none	3
v2	B1-declared	labelled	NONE	none	3
v2	B1-declared	labelled	NONE	none	4
v2	B1-declared	labelled	NONE	none	3
v3	B1-exam	blind	NONE	none	3
v3	B1-exam	blind	NONE	none	4
v3	B1-exam	blind	NONE	none	3
v3	B1-exam	labelled	NONE	none	3
v3	B1-exam	labelled	NONE	none	4
v3	B1-exam	labelled	NONE	none	3
v4	native-kids	blind	A2	high	14
v4	native-kids	blind	A2	high	12
v4	native-kids	blind	A2	high	19
v4	native-kids	labelled	A2	high	14
v4	native-kids	labelled	A2	high	12
v4	native-kids	labelled	A2	high	13
v5	native-adult	blind	NONE	none	3
v5	native-adult	blind	NONE	none	4
v5	native-adult	blind	NONE	none	4
v5	native-adult	labelled	NONE	none	3
v5	native-adult	labelled	NONE	none	3
v5	native-adult	labelled	NONE	none	4
