B1-2023-I-a	B1	2023-I/2023 Luisteren I - 18 - Een les van de drogisterijdocent - opgave 14.txt
B1-2023-I-b	B1	2023-I/2023 Luisteren I - 28 - Een gesprek over een kringloopwinkel - opgave 23.txt
B2-2023-II-a	B2	2023-II/2023 Luisteren II - 47 - Een video over een ondernemer van het bedrijf Yoghurt Barn - opgave 39.txt
B2-2023-II-b	B2	2023-II/2023 Luisteren II - 08 - Een gesprek over het starten van een bedrijf - opgave 6.txt
B1-2024-I-a	B1	2024-I/2024 Luisteren I - 34 - Een gesprek met een huisartsassistent - opgave 28.txt
B1-2024-I-b	B1	2024-I/2024 Luisteren I - 15 - Een gesprek met een mbo-studente van de opleiding tot gastvrouw - opgave 12.txt
B2-2024-II-a	B2	2024-II/2024 Luisteren II - 39 - Een gesprek over duurzame mode - opgave 32.txt
B2-2024-II-b	B2	2024-II/2024 Luisteren II - 15 - Een gesprek met een vrijwilliger van de Ouderenbond - opgave 12.txt
B1-2025-I-a	B1	2025-I/2025 Luisteren I - 38 - Een gesprek met een personal trainer - opgave 32.txt
B1-2025-I-b	B1	2025-I/2025 Luisteren I - 47 - Een gesprek met een onderwijsassistente - opgave 37.txt
B2-2025-II-a	B2	2025-II/2025 Luisteren II - 40 - Een interview met een stadsgids - opgave 31.txt
B2-2025-II-b	B2	2025-II/2025 Luisteren II - 14 - Een gesprek met een zorggroepmanager - opgave 11.txt
