blind	B1-2023-I-a	B1	B1	high	12	155
blind	B1-2023-I-a	B1	B1	high	10	155
blind	B1-2023-I-a	B1	B1	high	11	155
blind	B1-2023-I-b	B1	B1	high	11	171
blind	B1-2023-I-b	B1	B1	high	10	171
blind	B1-2023-I-b	B1	B1	high	10	171
blind	B2-2023-II-a	B2	B2	high	10	155
blind	B2-2023-II-a	B2	B2	high	11	155
blind	B2-2023-II-a	B2	B2	high	10	155
blind	B2-2023-II-b	B2	B2	high	10	173
blind	B2-2023-II-b	B2	B2	high	9	173
blind	B2-2023-II-b	B2	B2	high	11	173
blind	B1-2024-I-a	B1	B1	high	10	156
blind	B1-2024-I-a	B1	B1	high	12	156
blind	B1-2024-I-a	B1	B1	high	11	156
blind	B1-2024-I-b	B1	B1	high	11	170
blind	B1-2024-I-b	B1	B1	high	12	170
blind	B1-2024-I-b	B1	B1	high	10	170
blind	B2-2024-II-a	B2	B2	high	10	155
blind	B2-2024-II-a	B2	B2	high	11	155
blind	B2-2024-II-a	B2	B2	high	10	155
blind	B2-2024-II-b	B2	B2	high	10	167
blind	B2-2024-II-b	B2	B2	high	10	167
blind	B2-2024-II-b	B2	B2	high	10	167
blind	B1-2025-I-a	B1	B1	high	11	151
blind	B1-2025-I-a	B1	B1	high	11	151
blind	B1-2025-I-a	B1	B1	high	11	151
blind	B1-2025-I-b	B1	B1	high	11	159
blind	B1-2025-I-b	B1	B1	high	11	159
blind	B1-2025-I-b	B1	B1	high	10	159
blind	B2-2025-II-a	B2	B2	high	11	172
blind	B2-2025-II-a	B2	B2	high	10	172
blind	B2-2025-II-a	B2	B2	high	10	172
blind	B2-2025-II-b	B2	B2	high	11	174
blind	B2-2025-II-b	B2	B2	high	9	174
blind	B2-2025-II-b	B2	B2	high	11	174
